acc       	epoch     	loss      	LR        	
0.8111	1	0.007798	0.00025	
0.8274	2	0.007398	0.00025	
0.8364	3	0.007125	0.00025	
0.8444	4	0.006847	0.00025	
0.8505	5	0.006607	0.00025	
0.8561	6	0.006408	0.00025	
0.8727	7	0.005966	2e-05	
0.8766	8	0.005870	2e-05	
0.8791	9	0.005817	2e-05	
0.8806	10	0.005780	2e-05	
0.8818	11	0.005750	2e-05	
